date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:23	21289/21289	U-----	200	untouched ('')	image/png	etag:%228db2a10bc902cd5106fe5e26621152d2%22	http://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/i_3_downloadbox.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/i_3_downloadbox.png	(from https://cdn.mairuan.com/cdn/common/css/common.css?ver=1.227)
21:06:23	21926/21926	U-----	200	untouched ('')	image/png	etag:%2232b6d7175335c4f81ce4c736e85c5153%22	http://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/i_4_downloadbox.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/i_4_downloadbox.png	(from https://cdn.mairuan.com/cdn/common/css/common.css?ver=1.227)
21:06:23	30041/30041	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Jan%202021%2006:17:53%20GMT	https://cstaticdun.126.net/load.min.js?t=1612789577	C:/My%20Websites/mkd/load.mindf8d.js	(from https://www.makeding.com/products.html)
21:06:24	34176/34176	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cb78fb94d6d8038cde2439a71bdcc7b3%22	https://cdn.mairuan.com/cdn/common/js/common.js?t=1612789577	C:/My%20Websites/mkd/cdn/common/js/commondf8d.js	(from https://www.makeding.com/products.html)
21:06:24	30041/30041	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Jan%202021%2006:17:53%20GMT	https://cstaticdun.126.net/load.min.js?t=1612789578	C:/My%20Websites/mkd/load.min429f.js	(from https://www.makeding.com/gongsizixun/)
21:06:24	1083/1083	U-----	200	untouched ('')	image/png	etag:%22610e5422d46cde043f38868dfca87584%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/v1.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/v1.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:24	1179/1179	U-----	200	untouched ('')	image/png	etag:%22054c76628915189c55f6e659fc33db9f%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_1.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_1.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:24	34176/34176	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cb78fb94d6d8038cde2439a71bdcc7b3%22	https://cdn.mairuan.com/cdn/common/js/common.js?t=1612789578	C:/My%20Websites/mkd/cdn/common/js/common429f.js	(from https://www.makeding.com/gongsizixun/)
21:06:24	1223/1223	U-----	200	untouched ('')	image/png	etag:%2288c16dcbdc747776362e5906ff40cb26%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_2.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_2.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:25	1150/1150	U-----	200	untouched ('')	image/png	etag:%22a5ea05a0ff15632a2e1f72783e013afb%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_3.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_3.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:25	12580/12580	---M--	200	added ('OK')	image/png	etag:%220c84c59dad2fcbb230b01ac09c52589e%22	https://pic.mairuan.com/WebSource/minitab/web/images/weibo.png	C:/My%20Websites/mkd/WebSource/minitab/web/images/weibo.png	(from https://www.makeding.com/about.html)
21:06:25	30041/30041	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Jan%202021%2006:17:53%20GMT	https://cstaticdun.126.net/load.min.js?t=1612789579	C:/My%20Websites/mkd/load.mincca8.js	(from https://www.makeding.com/event.html)
21:06:25	1210/1210	U-----	200	untouched ('')	image/png	etag:%2297b4d4c9b26065e2a71fc362dbcce162%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_4.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_4.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:25	1262/1262	U-----	200	untouched ('')	image/png	etag:%22caaeb4dee45414669109fe097ca6dcb5%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_5.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_5.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:25	988/988	U-----	200	untouched ('')	image/png	etag:%2299fcf6e2e04a2cc6259133a493bcff9d%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/v3.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/v3.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:25	22616/22616	U-----	200	untouched ('')	image/png	etag:%22c16e66f27409960fa4f736c34f3df58b%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/v2.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/v2.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:25	1156/1156	U-----	200	untouched ('')	image/png	etag:%22631668af28b720215595e59200b1801e%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/q_1.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/q_1.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:26	34176/34176	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cb78fb94d6d8038cde2439a71bdcc7b3%22	https://cdn.mairuan.com/cdn/common/js/common.js?t=1612789579	C:/My%20Websites/mkd/cdn/common/js/commoncca8.js	(from https://www.makeding.com/event.html)
21:06:26	552/552	U-----	200	untouched ('')	image/png	etag:%22ea56651eabcc9e08b33d219397f8ab04%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_7.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_7.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
